Date,贵州茅台,五粮液,海康威视,中国中免,招商银行,泸州老窖,中国平安,隆基股份,美的集团,长春高新,山西汾酒,兴业银行,伊利股份,恒瑞医药,智飞生物,三一重工,亿纬锂能,万科A,平安银行,东方财富,宁波银行,万华化学,分众传媒,顺丰控股,汇川技术,爱尔眼科,海尔智家,赣锋锂业,洋河股份,立讯精密,紫金矿业,格力电器,东方雨虹,泰格医药,京东方A,中信证券,海大集团,荣盛石化,兆易创新,华友钴业,紫光国微
2020-08-07,1615.7843017578125,207.25999450683594,38.22883224487305,220.0966796875,36.61000061035156,109.77864837646484,74.1668472290039,41.32902145385742,69.13167572021484,483.11810302734375,167.24000549316406,15.729999542236328,35.67200469970703,75.81936645507812,160.4901123046875,20.717971801757812,54.30670928955078,26.069530487060547,13.603029251098633,22.405874252319336,31.899999618530273,66.77949523925781,5.829999923706055,67.24541473388672,51.53913497924805,35.29848861694336,22.59000015258789,56.08000183105469,131.2899932861328,53.9900016784668,6.639999866485596,55.395267486572266,36.52758026123047,107.61518859863281,4.71348237991333,31.460311889648438,67.73999786376953,12.680953025817871,157.27066040039062,44.512481689453125,155.83489990234375
2020-08-10,1618.746337890625,205.97000122070312,37.488155364990234,212.942138671875,37.0,110.42056274414062,74.82757568359375,41.66987991333008,70.57233428955078,487.6308898925781,166.8699951171875,15.829999923706055,35.66221237182617,75.478515625,159.69264221191406,20.600534439086914,53.23697280883789,26.821813583374023,13.841156959533691,22.05643081665039,33.540000915527344,66.1173324584961,6.130000114440918,67.05638885498047,52.02722930908203,35.6524772644043,22.329999923706055,54.369998931884766,130.50999450683594,52.45000076293945,6.329999923706055,55.47405242919922,36.646949768066406,105.41896057128906,4.723322868347168,32.69076919555664,67.37999725341797,12.601407051086426,155.2415008544922,43.474754333496094,145.0563201904297
2020-08-11,1627.1868896484375,209.0,38.86087417602539,213.52008056640625,37.540000915527344,111.49702453613281,74.59437561035156,40.47687911987305,69.95490264892578,485.8936767578125,166.2100067138672,15.84000015258789,35.25094985961914,76.30155181884766,157.3800048828125,20.414592742919922,52.62712097167969,26.889326095581055,14.029674530029297,20.958187103271484,32.970001220703125,65.91967010498047,6.070000171661377,65.74311828613281,52.67470932006836,35.51395797729492,21.700000762939453,54.099998474121094,130.1699981689453,52.20000076293945,6.03000020980835,55.07027816772461,36.51431655883789,103.17281341552734,4.615079879760742,30.82047462463379,66.5,12.800271987915039,153.54698181152344,41.56892776489258,141.8697052001953
2020-08-12,1611.77197265625,206.5,39.47317123413086,205.91714477539062,37.790000915527344,109.5218734741211,74.97332763671875,39.312278747558594,68.22024536132812,475.10089111328125,161.33999633789062,16.010000228881836,34.58509826660156,74.8300552368164,145.8000030517578,19.87633514404297,50.97752380371094,27.68983268737793,14.277724266052246,20.56714630126953,33.0099983215332,63.68611526489258,6.010000228881836,64.30050659179688,50.40355682373047,35.344661712646484,21.610000610351562,57.79999923706055,127.36000061035156,53.20000076293945,5.699999809265137,54.89301681518555,34.88290786743164,100.70704650878906,4.615079879760742,30.603914260864258,65.4800033569336,12.382655143737793,150.58511352539062,43.145477294921875,137.60421752929688
2020-08-13,1619.7469482421875,206.89999389648438,39.14727020263672,203.7648162841797,37.33000183105469,109.78852081298828,74.42919158935547,39.830665588378906,68.61225891113281,449.8312683105469,162.36000061035156,15.9399995803833,34.11508560180664,73.890625,141.8699951171875,19.79804229736328,50.40766143798828,27.593387603759766,14.06936264038086,20.7252254486084,32.2599983215332,65.1784439086914,5.960000038146973,64.74821472167969,52.34598922729492,34.205753326416016,21.489999771118164,55.77000045776367,128.1300048828125,51.970001220703125,5.71999979019165,54.93240737915039,34.55795669555664,100.19792938232422,4.782364368438721,30.407041549682617,66.81999969482422,12.687582015991211,149.96568298339844,41.90818405151367,135.85606384277344
2020-08-14,1645.50439453125,212.89999389648438,39.34478759765625,206.5150146484375,38.0,116.13861083984375,75.97412872314453,40.01530075073242,70.61153411865234,451.5784912109375,166.89999389648438,16.100000381469727,34.50676727294922,74.40607452392578,145.0,19.964412689208984,52.23721694946289,27.65999984741211,14.357100486755371,21.066347122192383,33.560001373291016,66.6905517578125,6.119999885559082,65.8525619506836,54.79643630981445,34.590518951416016,22.299999237060547,54.68000030517578,130.8300018310547,53.779998779296875,5.78000020980835,55.395267486572266,35.247657775878906,100.04817962646484,4.861086368560791,30.87953758239746,68.95999908447266,12.826786994934082,151.01229858398438,42.0179443359375,137.35447692871094
2020-08-17,1674.23388671875,219.97999572753906,39.4830436706543,206.46519470214844,39.04999923706055,122.37020874023438,78.80166625976562,39.78096008300781,70.65072631835938,456.2310485839844,171.5,16.5,34.61447525024414,75.56996154785156,146.66000366210938,20.845195770263672,53.40692901611328,28.209999084472656,15.071481704711914,21.765230178833008,34.58000183105469,66.40393829345703,6.730000019073486,66.0913314819336,55.03550720214844,35.05223846435547,24.09000015258789,55.380001068115234,131.75999450683594,53.869998931884766,6.110000133514404,55.93690872192383,35.13491439819336,100.60722351074219,5.136612892150879,32.45452117919922,68.08999633789062,13.310691833496094,153.0699462890625,42.776283264160156,143.7377166748047
2020-08-18,1689.0938720703125,220.55999755859375,38.594234466552734,210.20188903808594,38.849998474121094,124.0293197631836,77.48992156982422,40.3348503112793,70.24891662597656,466.53460693359375,172.52000427246094,16.260000228881836,35.388038635253906,77.64834594726562,149.8699951171875,20.737545013427734,52.52714538574219,27.700000762939453,14.982184410095215,21.790191650390625,34.790000915527344,68.18287658691406,6.599999904632568,68.2900619506836,55.433956146240234,35.013763427734375,23.780000686645508,55.459999084472656,130.97000122070312,52.7400016784668,6.360000133514404,55.18845748901367,36.2026252746582,102.50396728515625,5.146453380584717,32.621864318847656,71.19999694824219,13.310691833496094,152.350830078125,42.36717987060547,144.2172088623047
2020-08-19,1671.2618408203125,222.22999572753906,37.665916442871094,199.2907257080078,38.349998474121094,126.26123809814453,75.95469665527344,38.01986312866211,68.72006225585938,447.9842529296875,171.42999267578125,16.040000915527344,34.261966705322266,77.09133911132812,135.89999389648438,20.80605125427246,50.05774688720703,27.440000534057617,15.002028465270996,20.933225631713867,35.130001068115234,66.86844635009766,6.5,70.48880004882812,56.52968215942383,34.26731491088867,23.280000686645508,54.209999084472656,130.60000610351562,50.290000915527344,6.5,54.40061569213867,37.243804931640625,99.17967224121094,5.057891368865967,32.178897857666016,68.0999984741211,13.88077163696289,147.2743682861328,42.20752716064453,135.8660430908203
2020-08-20,1648.4764404296875,216.50999450683594,37.330142974853516,193.31201171875,37.52000045776367,123.7725601196289,75.4008560180664,36.514404296875,67.66162872314453,448.0840759277344,167.05999755859375,15.890000343322754,33.361106872558594,76.23503875732422,136.16000366210938,20.854982376098633,48.568115234375,27.469999313354492,14.476163864135742,20.933225631713867,33.97999954223633,67.99510955810547,6.360000133514404,68.45919799804688,53.6309814453125,34.01336669921875,23.059999465942383,52.13999938964844,127.5,51.279998779296875,6.320000171661377,53.297630310058594,36.11641311645508,100.82684326171875,5.087411880493164,31.479999542236328,68.19000244140625,13.602360725402832,146.59799194335938,43.49470901489258,133.508544921875
